eth_address,eos_key,balance
0x00000000000000000000000000000000000000b1,EOS5cujNHGMYZZ2tgByyNEUaoPLFhZVmGXbZc9BLJeQkKZFqGYEiQ,100000000.0000
0x99713c8cf0abb24378379713f56a3a66619021d1,EOS7zn6v2KMbcGzb2KumkWZuws73qeneJ5N32fiS8ZGZZZvHoRrjm,3.2926
0x9877b898e31836633350e2ed832bd7da1cf18a73,EOS5ddoxYRDrNgssueFXvN66p1wWBW3KwBNgBdmUoWAofu5AK3Jrv,130.0074
0x90fc1f495111329a1669716a149b7da88bdcb234,EOS5KFXy8LiruGAQqY1pzwp5GqCaUkpMivSkpQfu3Rgg78QyFRHmA,1500.4825
0x639a47924af07a5a0ec52b4d521501ce23f1a8f4,EOS7DHNkeYxmdDxQVbX6vPDoWqeWzqQ7XVJwXmw8uHuvYXgvzoqmm,3050.5253
0xeba01432d662fb77c3102029f790abb12098e1e1,EOS5C6LCQPAiRFZdx2kaywtEKAXJmDnGQwWoqkGJeyeRTJuJSVR2w,87129.6371
0xcf4338a39f0f5d97e9e5ea6fc2a6305b2f3add2f,EOS6H8Uu5PQ5FLNig89JbkKjBSeAvZT2WkxAyB5x3MGoXEWtYhDdi,9821.2356
0xf5c28fa89201be0a5aedb281d56c186c677f9e5d,EOS51egfQb2HyLKRbaKMBJYXx2PFKEnETjdFW3xK3KMc3bp76Rc82,1122.5349
0xa598d0e736f68804d50c80d4bd206b683aae22c3,EOS845j1hy4BN3Ccfppd1hBBgiFtWXz7yZcdeHFJoLSbpub8Bh928,1177.0149
0xa08dc7167e531fcbd2de37e398a17ca4fea2daa9,EOS7eLcHgJeanZMSHb7tnLv52NpB5PSFzGvqmL3zELz42orJ69GPv,82.1520
0x2a63b3c44c5b7a68a4d906a9656203f5065f6851,EOS7dYhKjfz81ybBYscyepybyy6U5xuuSdioeaCLEDvwfXMytnbdL,106.0628
0xbfbef6d460bc7ef39b1002080bb2bab4c2f0ff5c,EOS8TgBB5cJS2RFKA8zmyH9HmbmFtwV1nMdxotD3Bfo6wVmbjd76T,8.1312
0xb1351e9971a92b8d2bcc6612cdb0dfe2d818c05c,EOS6qvrQY7rFBUBrLvKZUqHLek1CV3pLEBxBFJTSSp8Vjw6p4Thoc,900.0000
0x8bd295861b7b7c991e90a42239d2a6356261bb2b,EOS6CRJR9Ey8BJrZ8MBsjcjfMxaU7wWYVi8mHbfK4jovkuWimJMNT,28000.6396
